nfeatures,contrastThreshold,edgeThreshold,trees,checks,ratio,ransacReprojThreshold,inliers,RMSE,NCC,MI,error_angular,error_tx,error_ty,error_escala
1000,0.02,10,6,50,0.6,1.0,298,8.889062,0.9841179,1.1785812023802023,0.0005775597417141398,0.0022164789037795174,0.0060643914088860384,0.0008728846090710896
1000,0.02,10,6,50,0.6,2.0,301,8.738284,0.9846364,1.180870220840836,0.0027382016359922545,0.0038394589694021874,0.009047743287414534,0.0046730194952271376
1000,0.02,10,6,50,0.7,1.0,305,8.889062,0.9841179,1.1785812023802023,0.0009641704203886547,0.002872455926521411,0.009344588871332604,0.0012751704132174524
1000,0.02,10,6,50,0.7,2.0,309,8.627598,0.98501027,1.1821734225775784,0.003964965109815921,0.006982848620662452,0.015034796541584683,0.006982303197178297
1000,0.02,10,6,100,0.6,1.0,298,8.889062,0.9841179,1.1785812023802023,0.0005775597417141398,0.0022164789037795174,0.0060643914088860384,0.0008728846090710896
1000,0.02,10,6,100,0.6,2.0,301,8.738284,0.9846364,1.180870220840836,0.0027382016359922545,0.0038394589694021874,0.009047743287414534,0.0046730194952271376
1000,0.02,10,6,100,0.7,1.0,305,8.889062,0.9841179,1.1785812023802023,0.0009641704203886547,0.002872455926521411,0.009344588871332604,0.0012751704132174524
1000,0.02,10,6,100,0.7,2.0,309,8.627598,0.98501027,1.1821734225775784,0.003964965109815921,0.006982848620662452,0.015034796541584683,0.006982303197178297
1000,0.04,5,4,50,0.6,1.0,51,8.889062,0.9841179,1.1785812023802023,0.0001062110514737924,0.0026120070756405767,0.0024154633427233563,0.0006598001409008347
1000,0.04,5,4,50,0.6,2.0,53,8.24425,0.986276,1.1880777130817126,0.0033054053558601026,0.043875413877252356,0.006718492061574821,0.017132090885441098
1000,0.04,5,4,50,0.7,1.0,51,8.889062,0.9841179,1.1785812023802023,0.0001062110514737924,0.002612007075637024,0.0024154633427233563,0.0006598001409008347
1000,0.04,5,4,50,0.7,2.0,55,7.711207,0.9879453,1.1971750557824394,0.006334127801210343,0.08513158018848088,0.014824598520348786,0.03292155378898931
